case,label,model,sza_deg,o3col_du,source_file,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
pal0p1,0.1% PAL,vulcan,40.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,4.075,4.932,43.81,0.153,57.33,2.449,3.102,3.435
pal0p1,0.1% PAL,vulcan,45.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,3.529,4.291,39.32,0.123,48.25,2.045,2.621,2.921
pal0p1,0.1% PAL,vulcan,50.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,2.974,3.636,34.53,0.09498,39.3,1.65,2.147,2.412
pal0p1,0.1% PAL,vulcan,55.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,2.427,2.986,29.54,0.07005,30.82,1.282,1.699,1.926
pal0p1,0.1% PAL,vulcan,60.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,1.905,2.362,24.45,0.04907,23.12,0.9513,1.29,1.479
pal0p1,0.1% PAL,vulcan,65.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,1.427,1.784,19.39,0.03252,16.46,0.6703,0.9347,1.085
pal0p1,0.1% PAL,vulcan,70.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,1.008,1.272,14.53,0.0204,11.03,0.4451,0.641,0.7535
pal0p1,0.1% PAL,vulcan,75.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,0.6591,0.8401,10.06,0.01222,6.902,0.2764,0.4116,0.4894
pal0p1,0.1% PAL,vulcan,80.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,0.3857,0.4955,6.16,0.007078,3.971,0.1585,0.2421,0.2897
pal0p1,0.1% PAL,vulcan,85.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,0.1854,0.2378,2.98,0.003802,1.992,0.0799,0.121,0.144
pal0p1,0.1% PAL,waccm,0.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.988,9.278,62.47,0.659,148.8,7.246,8.223,8.693
pal0p1,0.1% PAL,waccm,5.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.938,9.222,62.16,0.653,147.7,7.189,8.163,8.63
pal0p1,0.1% PAL,waccm,10.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.789,9.052,61.23,0.6351,144.5,7.019,7.981,8.442
pal0p1,0.1% PAL,waccm,15.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.54,8.769,59.7,0.604,139.2,6.729,7.673,8.123
pal0p1,0.1% PAL,waccm,20.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.208,8.39,57.59,0.5672,132.2,6.365,7.28,7.714
pal0p1,0.1% PAL,waccm,25.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,6.788,7.91,54.91,0.5198,123.4,5.903,6.782,7.197
pal0p1,0.1% PAL,waccm,30.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,6.293,7.345,51.7,0.466,113.1,5.372,6.204,6.595
pal0p1,0.1% PAL,waccm,35.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,5.731,6.703,48.01,0.4072,101.6,4.782,5.558,5.921
pal0p1,0.1% PAL,waccm,40.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,5.124,6.006,43.89,0.3473,89.44,4.169,4.88,5.213
pal0p1,0.1% PAL,waccm,45.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,4.481,5.266,39.4,0.2877,76.76,3.541,4.178,4.478
pal0p1,0.1% PAL,waccm,50.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,3.82,4.503,34.61,0.2305,64.03,2.921,3.476,3.741
pal0p1,0.1% PAL,waccm,55.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,3.16,3.739,29.61,0.1779,51.67,2.33,2.8,3.027
pal0p1,0.1% PAL,waccm,60.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,2.522,2.998,24.51,0.1316,40.12,1.788,2.171,2.36
pal0p1,0.1% PAL,waccm,65.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,1.928,2.302,19.45,0.09289,29.74,1.311,1.61,1.76
pal0p1,0.1% PAL,waccm,70.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,1.394,1.673,14.58,0.06216,20.84,0.9102,1.13,1.243
pal0p1,0.1% PAL,waccm,75.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,0.9365,1.13,10.1,0.03908,13.59,0.5894,0.7395,0.8173
pal0p1,0.1% PAL,waccm,80.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,0.5614,0.68,6.191,0.02256,7.975,0.3448,0.4363,0.4838
pal0p1,0.1% PAL,waccm,85.0,16.5312,Earth_0.1pc_o2.cam.h0.0033-0036.nc,0.269,0.3263,2.998,0.01096,3.824,0.1657,0.2101,0.2331
pal0p1,0.1% PAL,waccm_eq,0.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,8.083,9.376,62.47,0.6911,152.4,7.487,8.448,8.918
pal0p1,0.1% PAL,waccm_eq,5.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,8.033,9.318,62.16,0.6848,151.3,7.427,8.386,8.853
pal0p1,0.1% PAL,waccm_eq,10.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.882,9.147,61.24,0.666,148.0,7.25,8.199,8.659
pal0p1,0.1% PAL,waccm_eq,15.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.635,8.865,59.71,0.6355,142.7,6.962,7.893,8.343
pal0p1,0.1% PAL,waccm_eq,20.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,7.292,8.475,57.59,0.5927,135.3,6.562,7.468,7.902
pal0p1,0.1% PAL,waccm_eq,25.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,6.87,7.994,54.91,0.5448,126.4,6.094,6.965,7.38
pal0p1,0.1% PAL,waccm_eq,30.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,6.369,7.422,51.71,0.4882,115.9,5.543,6.37,6.761
pal0p1,0.1% PAL,waccm_eq,35.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,5.803,6.776,48.02,0.427,104.1,4.937,5.711,6.074
pal0p1,0.1% PAL,waccm_eq,40.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,5.186,6.069,43.89,0.3637,91.58,4.297,5.007,5.341
pal0p1,0.1% PAL,waccm_eq,45.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,4.534,5.32,39.4,0.3006,78.55,3.645,4.282,4.582
pal0p1,0.1% PAL,waccm_eq,50.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,3.863,4.547,34.61,0.2402,65.46,3.002,3.559,3.823
pal0p1,0.1% PAL,waccm_eq,55.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,3.193,3.773,29.61,0.1848,52.75,2.389,2.861,3.088
pal0p1,0.1% PAL,waccm_eq,60.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,2.546,3.022,24.51,0.136,40.85,1.827,2.212,2.401
pal0p1,0.1% PAL,waccm_eq,65.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,1.941,2.316,19.45,0.09525,30.16,1.333,1.633,1.783
pal0p1,0.1% PAL,waccm_eq,70.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,1.4,1.679,14.58,0.06301,21.01,0.9184,1.139,1.251
pal0p1,0.1% PAL,waccm_eq,75.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,0.9358,1.129,10.1,0.03903,13.57,0.5887,0.7387,0.8165
pal0p1,0.1% PAL,waccm_eq,80.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,0.5573,0.6758,6.191,0.02219,7.875,0.3403,0.4314,0.479
pal0p1,0.1% PAL,waccm_eq,85.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,0.2653,0.3224,2.997,0.01069,3.744,0.1621,0.2064,0.2293
pal1,1% PAL,atmos,0.0,172.6678,PTZ_mixingratios_out.dist,2.987,4.059,61.7,0.02246,22.38,0.8253,1.661,2.131
pal1,1% PAL,atmos,5.0,172.6678,PTZ_mixingratios_out.dist,2.963,4.029,61.39,0.02217,22.16,0.8165,1.648,2.116
pal1,1% PAL,atmos,10.0,172.6678,PTZ_mixingratios_out.dist,2.893,3.939,60.46,0.0213,21.51,0.7907,1.61,2.071
pal1,1% PAL,atmos,15.0,172.6678,PTZ_mixingratios_out.dist,2.778,3.792,58.94,0.01991,20.46,0.749,1.548,1.998
pal1,1% PAL,atmos,20.0,172.6678,PTZ_mixingratios_out.dist,2.622,3.592,56.84,0.01808,19.04,0.6933,1.465,1.899
pal1,1% PAL,atmos,25.0,172.6678,PTZ_mixingratios_out.dist,2.428,3.344,54.18,0.01594,17.33,0.626,1.363,1.777
pal1,1% PAL,atmos,30.0,172.6678,PTZ_mixingratios_out.dist,2.204,3.055,50.99,0.0136,15.4,0.5503,1.245,1.636
pal1,1% PAL,atmos,35.0,172.6678,PTZ_mixingratios_out.dist,1.956,2.733,47.32,0.0112,13.33,0.4695,1.116,1.479
pal1,1% PAL,atmos,40.0,172.6678,PTZ_mixingratios_out.dist,1.693,2.388,43.22,0.008881,11.21,0.3875,0.9795,1.313
pal1,1% PAL,atmos,45.0,172.6678,PTZ_mixingratios_out.dist,1.422,2.03,38.76,0.006742,9.125,0.3077,0.8405,1.141
pal1,1% PAL,atmos,50.0,172.6678,PTZ_mixingratios_out.dist,1.153,1.671,34.0,0.004875,7.16,0.2335,0.703,0.9673
pal1,1% PAL,atmos,55.0,172.6678,PTZ_mixingratios_out.dist,0.8962,1.323,29.05,0.003336,5.387,0.168,0.5709,0.7978
pal1,1% PAL,atmos,60.0,172.6678,PTZ_mixingratios_out.dist,0.6613,0.9985,24.0,0.002145,3.86,0.1132,0.4477,0.6362
pal1,1% PAL,atmos,65.0,172.6678,PTZ_mixingratios_out.dist,0.4569,0.7096,18.99,0.001286,2.613,0.07044,0.3365,0.4865
pal1,1% PAL,atmos,70.0,172.6678,PTZ_mixingratios_out.dist,0.2899,0.4662,14.19,0.0007159,1.652,0.03983,0.2396,0.3521
pal1,1% PAL,atmos,75.0,172.6678,PTZ_mixingratios_out.dist,0.1641,0.2753,9.774,0.0003709,0.9618,0.02019,0.1583,0.2361
pal1,1% PAL,atmos,80.0,172.6678,PTZ_mixingratios_out.dist,0.07953,0.1391,5.948,0.0001832,0.5033,0.009331,0.09342,0.1409
pal1,1% PAL,atmos,85.0,172.6678,PTZ_mixingratios_out.dist,0.03202,0.05587,2.848,8.928e-05,0.2252,0.004329,0.04407,0.06702
pal1,1% PAL,kasting,0.0,103.4509,OUTPUT_PLOT.dat,4.008,5.164,62.01,0.05857,38.75,1.524,2.36,2.83
pal1,1% PAL,kasting,5.0,103.4509,OUTPUT_PLOT.dat,3.979,5.129,61.7,0.05784,38.39,1.51,2.341,2.808
pal1,1% PAL,kasting,10.0,103.4509,OUTPUT_PLOT.dat,3.89,5.02,60.77,0.05568,37.31,1.465,2.284,2.744
pal1,1% PAL,kasting,15.0,103.4509,OUTPUT_PLOT.dat,3.745,4.843,59.25,0.05223,35.55,1.393,2.19,2.639
pal1,1% PAL,kasting,20.0,103.4509,OUTPUT_PLOT.dat,3.547,4.6,57.14,0.04768,33.19,1.297,2.064,2.498
pal1,1% PAL,kasting,25.0,103.4509,OUTPUT_PLOT.dat,3.304,4.3,54.47,0.04229,30.32,1.18,1.91,2.324
pal1,1% PAL,kasting,30.0,103.4509,OUTPUT_PLOT.dat,3.019,3.947,51.28,0.03619,27.03,1.046,1.732,2.122
pal1,1% PAL,kasting,35.0,103.4509,OUTPUT_PLOT.dat,2.702,3.554,47.6,0.03024,23.54,0.9047,1.541,1.905
pal1,1% PAL,kasting,40.0,103.4509,OUTPUT_PLOT.dat,2.365,3.132,43.49,0.02423,19.91,0.7588,1.34,1.673
pal1,1% PAL,kasting,45.0,103.4509,OUTPUT_PLOT.dat,2.015,2.691,39.02,0.01863,16.32,0.6151,1.136,1.436
pal1,1% PAL,kasting,50.0,103.4509,OUTPUT_PLOT.dat,1.664,2.246,34.25,0.01369,12.91,0.4798,0.9376,1.202
pal1,1% PAL,kasting,55.0,103.4509,OUTPUT_PLOT.dat,1.326,1.811,29.27,0.009577,9.807,0.3581,0.7504,0.9773
pal1,1% PAL,kasting,60.0,103.4509,OUTPUT_PLOT.dat,1.011,1.402,24.21,0.006359,7.123,0.254,0.5799,0.7684
pal1,1% PAL,kasting,65.0,103.4509,OUTPUT_PLOT.dat,0.7317,1.031,19.18,0.004015,4.921,0.1703,0.4301,0.58
pal1,1% PAL,kasting,70.0,103.4509,OUTPUT_PLOT.dat,0.4965,0.7131,14.35,0.002432,3.221,0.1074,0.3034,0.416
pal1,1% PAL,kasting,75.0,103.4509,OUTPUT_PLOT.dat,0.3113,0.4553,9.914,0.00144,1.991,0.06392,0.2006,0.2784
pal1,1% PAL,kasting,80.0,103.4509,OUTPUT_PLOT.dat,0.1763,0.2608,6.06,0.0008468,1.151,0.03623,0.1204,0.1679
pal1,1% PAL,kasting,85.0,103.4509,OUTPUT_PLOT.dat,0.08579,0.1254,2.926,0.0004691,0.5893,0.01909,0.05954,0.08249
pal1,1% PAL,photochem,0.0,148.1953,Earth_1pc_48.2.txt,3.328,4.434,61.82,0.03113,27.08,1.025,1.856,2.326
pal1,1% PAL,photochem,5.0,148.1953,Earth_1pc_48.2.txt,3.303,4.402,61.51,0.03073,26.82,1.014,1.841,2.309
pal1,1% PAL,photochem,10.0,148.1953,Earth_1pc_48.2.txt,3.226,4.305,60.59,0.02954,26.03,0.9832,1.798,2.258
pal1,1% PAL,photochem,15.0,148.1953,Earth_1pc_48.2.txt,3.101,4.148,59.06,0.02764,24.77,0.9326,1.727,2.176
pal1,1% PAL,photochem,20.0,148.1953,Earth_1pc_48.2.txt,2.929,3.932,56.96,0.02513,23.06,0.8644,1.631,2.065
pal1,1% PAL,photochem,25.0,148.1953,Earth_1pc_48.2.txt,2.719,3.667,54.29,0.02219,21.02,0.783,1.514,1.928
pal1,1% PAL,photochem,30.0,148.1953,Earth_1pc_48.2.txt,2.474,3.356,51.1,0.01897,18.69,0.6907,1.38,1.77
pal1,1% PAL,photochem,35.0,148.1953,Earth_1pc_48.2.txt,2.203,3.009,47.43,0.01566,16.19,0.5918,1.232,1.596
pal1,1% PAL,photochem,40.0,148.1953,Earth_1pc_48.2.txt,1.913,2.636,43.33,0.01244,13.62,0.4909,1.078,1.411
pal1,1% PAL,photochem,45.0,148.1953,Earth_1pc_48.2.txt,1.613,2.248,38.86,0.009456,11.09,0.3922,0.9201,1.22
pal1,1% PAL,photochem,50.0,148.1953,Earth_1pc_48.2.txt,1.316,1.858,34.1,0.006846,8.698,0.3,0.7651,1.029
pal1,1% PAL,photochem,55.0,148.1953,Earth_1pc_48.2.txt,1.03,1.479,29.13,0.004687,6.536,0.2178,0.6173,0.8442
pal1,1% PAL,photochem,60.0,148.1953,Earth_1pc_48.2.txt,0.7664,1.123,24.08,0.003011,4.672,0.1484,0.4806,0.6691
pal1,1% PAL,photochem,65.0,148.1953,Earth_1pc_48.2.txt,0.535,0.8039,19.06,0.001801,3.149,0.09359,0.3584,0.5083
pal1,1% PAL,photochem,70.0,148.1953,Earth_1pc_48.2.txt,0.3435,0.5329,14.24,0.0009952,1.978,0.05364,0.253,0.3655
pal1,1% PAL,photochem,75.0,148.1953,Earth_1pc_48.2.txt,0.197,0.3178,9.818,0.0005072,1.139,0.02742,0.1658,0.2436
pal1,1% PAL,photochem,80.0,148.1953,Earth_1pc_48.2.txt,0.09616,0.1619,5.979,0.0002394,0.5845,0.01238,0.09701,0.1445
pal1,1% PAL,photochem,85.0,148.1953,Earth_1pc_48.2.txt,0.03699,0.06362,2.865,0.0001028,0.2475,0.004997,0.04521,0.06817
pal1,1% PAL,vulcan,0.0,115.8874,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,3.904,5.055,61.99,0.05208,36.51,1.427,2.259,2.729
pal1,1% PAL,vulcan,5.0,115.8874,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,3.874,5.019,61.68,0.05142,36.16,1.413,2.241,2.708
pal1,1% PAL,vulcan,10.0,115.8874,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,3.787,4.912,60.76,0.04948,35.13,1.371,2.186,2.646
pal1,1% PAL,vulcan,15.0,115.8874,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,3.644,4.736,59.23,0.04637,33.45,1.303,2.096,2.546
pal1,1% PAL,vulcan,20.0,115.8874,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,3.45,4.49,57.11,0.04228,31.2,1.211,1.975,2.409
pal1,1% PAL,vulcan,25.0,115.8874,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,3.209,4.199,54.45,0.03743,28.47,1.1,1.828,2.242
