case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,35.75,243.5,0.00513,7.603e-06,1160165929345.4058
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,36.25,244.9,0.004787,7.455e-06,1055453264427.9724
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,36.75,246.3,0.004469,7.302e-06,959631485564.774
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,37.25,247.7,0.004174,7.146e-06,872180087775.58
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,37.75,249.1,0.0039,6.987e-06,792315842965.5824
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,38.25,250.4,0.003645,6.823e-06,719374926692.4027
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,38.75,251.8,0.003408,6.656e-06,652490046307.4978
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,39.25,253.1,0.003188,6.486e-06,591724878598.6067
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,39.75,254.5,0.002983,6.313e-06,535942223043.33264
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,40.25,255.8,0.002792,6.137e-06,485163046438.49915
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,40.75,257.1,0.002614,5.963e-06,439121835671.72205
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,41.25,258.3,0.002448,5.791e-06,397518449278.0945
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,41.75,259.5,0.002294,5.619e-06,359775678420.68335
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,42.25,260.8,0.00215,5.447e-06,325240758672.8117
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,42.75,261.8,0.002016,5.282e-06,294602209532.8391
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,43.25,262.7,0.00189,5.12e-06,266801587703.14084
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,43.75,263.7,0.001773,4.955e-06,241300922343.844
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,44.25,264.6,0.001664,4.788e-06,218089291271.541
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,44.75,265.2,0.001561,4.629e-06,197348250828.68353
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,45.25,265.7,0.001465,4.472e-06,178593061635.0215
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,45.75,266.2,0.001375,4.31e-06,161245882872.58292
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,46.25,266.7,0.001291,4.146e-06,145361448389.63794
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,46.75,267.0,0.001212,3.99e-06,131184030932.9855
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,47.25,267.1,0.001138,3.837e-06,118406867151.29689
