case,label,model,sza_deg,o3col_du,source_file,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
pal0p1,0.1% PAL,waccm_eq,70.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,1.445,1.937,15.33,0.06135,21.16,0.9157,1.128,1.236
pal0p1,0.1% PAL,waccm_eq,75.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,0.967,1.308,10.62,0.03803,13.69,0.5875,0.7319,0.8068
pal0p1,0.1% PAL,waccm_eq,80.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,0.5765,0.7861,6.507,0.0216,7.944,0.3397,0.4274,0.4732
pal0p1,0.1% PAL,waccm_eq,85.0,16.1674,Earth_0.1pc_o2.cam.h0.0033-0036.nc,0.2746,0.3757,3.149,0.0104,3.775,0.1618,0.2044,0.2265
pal1,1% PAL,atmos,0.0,172.6678,PTZ_mixingratios_out.dist,3.158,5.099,64.78,0.02223,22.79,0.8381,1.636,2.089
pal1,1% PAL,atmos,5.0,172.6678,PTZ_mixingratios_out.dist,3.133,5.063,64.46,0.02193,22.56,0.8293,1.623,2.074
pal1,1% PAL,atmos,10.0,172.6678,PTZ_mixingratios_out.dist,3.058,4.954,63.5,0.02107,21.89,0.8031,1.586,2.03
pal1,1% PAL,atmos,15.0,172.6678,PTZ_mixingratios_out.dist,2.939,4.779,61.9,0.0197,20.82,0.761,1.524,1.958
pal1,1% PAL,atmos,20.0,172.6678,PTZ_mixingratios_out.dist,2.775,4.537,59.7,0.0179,19.37,0.7041,1.441,1.86
pal1,1% PAL,atmos,25.0,172.6678,PTZ_mixingratios_out.dist,2.573,4.238,56.91,0.01579,17.63,0.6364,1.34,1.739
pal1,1% PAL,atmos,30.0,172.6678,PTZ_mixingratios_out.dist,2.338,3.888,53.57,0.01349,15.67,0.5598,1.223,1.6
pal1,1% PAL,atmos,35.0,172.6678,PTZ_mixingratios_out.dist,2.078,3.497,49.73,0.01113,13.55,0.4779,1.095,1.446
pal1,1% PAL,atmos,40.0,172.6678,PTZ_mixingratios_out.dist,1.801,3.074,45.44,0.00883,11.39,0.3947,0.9604,1.282
pal1,1% PAL,atmos,45.0,172.6678,PTZ_mixingratios_out.dist,1.516,2.634,40.77,0.006714,9.264,0.3136,0.8229,1.112
pal1,1% PAL,atmos,50.0,172.6678,PTZ_mixingratios_out.dist,1.232,2.189,35.78,0.004865,7.261,0.2382,0.6871,0.9417
pal1,1% PAL,atmos,55.0,172.6678,PTZ_mixingratios_out.dist,0.9607,1.753,30.58,0.003338,5.455,0.1715,0.5569,0.7754
pal1,1% PAL,atmos,60.0,172.6678,PTZ_mixingratios_out.dist,0.7116,1.343,25.28,0.002152,3.903,0.1156,0.4359,0.6173
pal1,1% PAL,atmos,65.0,172.6678,PTZ_mixingratios_out.dist,0.494,0.9713,20.02,0.001293,2.636,0.07203,0.3269,0.4712
pal1,1% PAL,atmos,70.0,172.6678,PTZ_mixingratios_out.dist,0.3153,0.6526,14.96,0.0007205,1.663,0.04075,0.2322,0.3404
pal1,1% PAL,atmos,75.0,172.6678,PTZ_mixingratios_out.dist,0.1799,0.3962,10.31,0.000373,0.9661,0.02066,0.1531,0.228
pal1,1% PAL,atmos,80.0,172.6678,PTZ_mixingratios_out.dist,0.08783,0.2067,6.277,0.0001837,0.5047,0.009539,0.09022,0.1359
pal1,1% PAL,atmos,85.0,172.6678,PTZ_mixingratios_out.dist,0.03535,0.08414,3.007,8.935e-05,0.226,0.004422,0.04254,0.06464
pal1,1% PAL,kasting,0.0,103.4509,OUTPUT_PLOT.dat,4.195,6.263,65.07,0.05776,39.41,1.54,2.338,2.791
pal1,1% PAL,kasting,5.0,103.4509,OUTPUT_PLOT.dat,4.166,6.222,64.75,0.05703,39.05,1.525,2.318,2.769
pal1,1% PAL,kasting,10.0,103.4509,OUTPUT_PLOT.dat,4.073,6.094,63.79,0.05491,37.94,1.48,2.261,2.705
pal1,1% PAL,kasting,15.0,103.4509,OUTPUT_PLOT.dat,3.924,5.888,62.19,0.05151,36.16,1.408,2.168,2.602
pal1,1% PAL,kasting,20.0,103.4509,OUTPUT_PLOT.dat,3.719,5.604,59.98,0.04702,33.77,1.311,2.043,2.461
