case,model,wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
pal1,waccm_eq,320.0,0.4865,0.4838,0.476,0.4631,0.4453,0.4229,0.3962,0.3657,0.3318,0.2952,0.2567,0.2172,0.1776,0.1391,0.1031,0.07062,0.04273,0.02014
pal1,waccm_eq,325.0,0.5828,0.5797,0.5706,0.5554,0.5345,0.5082,0.4768,0.4407,0.4007,0.3575,0.3118,0.2647,0.2174,0.1712,0.1276,0.08808,0.05389,0.02579
pal1,waccm_eq,330.0,0.7048,0.7011,0.6902,0.6721,0.6472,0.6157,0.5781,0.535,0.4871,0.4351,0.3802,0.3234,0.2662,0.2101,0.157,0.1087,0.06681,0.0322
pal1,waccm_eq,335.0,0.661,0.6576,0.6474,0.6307,0.6075,0.5783,0.5434,0.5033,0.4587,0.4103,0.3589,0.3058,0.252,0.1993,0.1491,0.1034,0.06371,0.03085
pal1,waccm_eq,340.0,0.7146,0.711,0.7001,0.6822,0.6574,0.626,0.5885,0.5455,0.4975,0.4454,0.3901,0.3326,0.2745,0.2172,0.1626,0.1128,0.06953,0.03373
pal1,waccm_eq,345.0,0.7032,0.6996,0.689,0.6715,0.6473,0.6167,0.58,0.5379,0.491,0.4399,0.3856,0.3291,0.2718,0.2153,0.1612,0.1118,0.06889,0.03344
pal1,waccm_eq,350.0,0.7361,0.7324,0.7214,0.7031,0.678,0.6461,0.608,0.5642,0.5152,0.462,0.4052,0.3462,0.2861,0.2267,0.1698,0.1177,0.07242,0.03514
pal1,waccm_eq,355.0,0.7783,0.7744,0.7628,0.7437,0.7173,0.6838,0.6438,0.5977,0.5462,0.4901,0.4302,0.3679,0.3043,0.2413,0.1808,0.1252,0.07696,0.03734
pal1,waccm_eq,360.0,0.7119,0.7084,0.6979,0.6805,0.6565,0.6261,0.5897,0.5478,0.5009,0.4497,0.3951,0.3381,0.2799,0.2221,0.1664,0.1152,0.07073,0.0343
pal1,waccm_eq,365.0,0.9057,0.9013,0.888,0.866,0.8357,0.7972,0.7512,0.6981,0.6387,0.5738,0.5046,0.4321,0.358,0.2842,0.2131,0.1475,0.0904,0.04381
pal1,waccm_eq,370.0,0.9422,0.9376,0.9239,0.9012,0.8698,0.83,0.7824,0.7275,0.6659,0.5987,0.5268,0.4515,0.3744,0.2975,0.2231,0.1543,0.09446,0.04575
pal1,waccm_eq,375.0,0.8516,0.8475,0.8352,0.8148,0.7866,0.7509,0.708,0.6586,0.6032,0.5427,0.4779,0.4099,0.3402,0.2705,0.2029,0.1403,0.08577,0.0415
pal1,waccm_eq,380.0,0.9795,0.9748,0.9607,0.9374,0.9052,0.8643,0.8153,0.7587,0.6953,0.6259,0.5515,0.4735,0.3933,0.3129,0.2349,0.1623,0.0991,0.0479
pal1,waccm_eq,385.0,0.7388,0.7353,0.7248,0.7073,0.6831,0.6524,0.6157,0.5732,0.5255,0.4734,0.4174,0.3586,0.2981,0.2374,0.1783,0.1232,0.07509,0.03625
pal1,waccm_eq,390.0,0.9653,0.9607,0.947,0.9243,0.8928,0.853,0.8052,0.7499,0.688,0.62,0.5471,0.4704,0.3914,0.3119,0.2343,0.1619,0.09855,0.04751
pal1,waccm_eq,395.0,0.7491,0.7456,0.735,0.7175,0.6932,0.6625,0.6255,0.5829,0.5349,0.4824,0.4259,0.3665,0.3052,0.2434,0.183,0.1264,0.07684,0.03699
pal1,waccm_eq,400.0,1.391,1.385,1.365,1.333,1.288,1.231,1.163,1.084,0.9953,0.8981,0.7935,0.6833,0.5694,0.4545,0.3419,0.2362,0.1434,0.0689
pal1,waccm_eq,405.0,1.419,1.412,1.393,1.36,1.314,1.256,1.187,1.107,1.017,0.9181,0.8117,0.6994,0.5833,0.466,0.3508,0.2423,0.1469,0.07048
pal1,waccm_eq,410.0,1.464,1.457,1.437,1.403,1.356,1.297,1.226,1.143,1.051,0.9491,0.8397,0.7241,0.6044,0.4832,0.3639,0.2515,0.1523,0.0729
