case,model,wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85,irradiance_col1
pal100,waccm_eq,326.5,0.6964,0.6927,0.6816,0.6632,0.6379,0.6058,0.5677,0.5238,0.4756,0.4231,0.3678,0.3109,0.2537,0.198,0.1456,0.09835,0.05777,0.02516,
pal100,waccm_eq,327.5,0.6505,0.647,0.6366,0.6192,0.5954,0.5653,0.5294,0.4883,0.4427,0.3934,0.3414,0.2879,0.2342,0.182,0.133,0.08892,0.05132,0.02155,
pal100,waccm_eq,328.5,0.6003,0.597,0.5874,0.5714,0.5495,0.5217,0.4887,0.4508,0.4087,0.3633,0.3153,0.266,0.2164,0.1682,0.1229,0.08218,0.04744,0.01993,
pal100,waccm_eq,329.5,0.7725,0.7684,0.7563,0.7363,0.7087,0.6738,0.6322,0.5845,0.5315,0.4741,0.4134,0.3507,0.2876,0.2259,0.1676,0.1147,0.06902,0.03164,
pal100,waccm_eq,330.5,0.7044,0.7007,0.6895,0.6711,0.6457,0.6137,0.5755,0.5317,0.483,0.4303,0.3746,0.3171,0.2593,0.2028,0.1495,0.1014,0.05995,0.02651,
pal100,waccm_eq,331.5,0.6962,0.6925,0.6816,0.6633,0.6383,0.6066,0.5688,0.5255,0.4773,0.4252,0.37,0.3132,0.2559,0.2,0.1473,0.09963,0.0587,0.02576,
pal100,waccm_eq,332.5,0.6818,0.6782,0.6676,0.6502,0.626,0.5955,0.5591,0.5174,0.4709,0.4206,0.3673,0.3122,0.2566,0.2021,0.1504,0.1035,0.06282,0.02938,
pal100,waccm_eq,333.5,0.642,0.6386,0.6286,0.612,0.5892,0.5603,0.5259,0.4864,0.4424,0.3948,0.3443,0.2922,0.2396,0.1881,0.1394,0.09521,0.05705,0.02597,
pal100,waccm_eq,334.5,0.7162,0.7124,0.7013,0.6829,0.6576,0.6255,0.5873,0.5434,0.4945,0.4416,0.3855,0.3274,0.2689,0.2115,0.1571,0.1077,0.06493,0.02997,
pal100,waccm_eq,335.5,0.7238,0.72,0.7089,0.6905,0.6651,0.633,0.5947,0.5507,0.5018,0.4486,0.3923,0.334,0.275,0.2171,0.1621,0.112,0.06852,0.03263,
pal100,waccm_eq,336.5,0.5661,0.5632,0.5545,0.5401,0.5202,0.4951,0.4651,0.4306,0.3923,0.3507,0.3066,0.2609,0.2147,0.1693,0.1262,0.08701,0.053,0.02501,
pal100,waccm_eq,337.5,0.6224,0.6192,0.6096,0.5937,0.5718,0.544,0.5109,0.4729,0.4306,0.3846,0.336,0.2855,0.2346,0.1846,0.1371,0.09397,0.05666,0.02617,
pal100,waccm_eq,338.5,0.6548,0.6515,0.6415,0.6249,0.602,0.5731,0.5386,0.499,0.4548,0.4069,0.356,0.3032,0.2498,0.1973,0.1474,0.1019,0.06233,0.02973,
pal100,waccm_eq,339.5,0.7113,0.7077,0.6968,0.6789,0.6541,0.6228,0.5854,0.5424,0.4945,0.4425,0.3873,0.3301,0.2721,0.215,0.1607,0.1112,0.06816,0.03266,
pal100,waccm_eq,340.5,0.7611,0.7572,0.7456,0.7264,0.6998,0.6662,0.6262,0.5801,0.5288,0.473,0.4139,0.3525,0.2903,0.2292,0.171,0.1179,0.07187,0.03403,
