case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,48.5,167.34474082123708,0.00019380000000000002,3.254e-09,27294552.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,49.5,166.95910802680734,0.0001585,3.13e-09,21521880.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,50.5,166.90771317190143,0.0001296,3.22e-09,18109280.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,51.5,167.15760389728533,0.000106,3.59e-09,16488870.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,52.5,167.55289146793177,8.668e-05,4.191e-09,15703677.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,53.5,168.6699630014808,7.098e-05,5.689e-09,17340072.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,54.5,169.77079501954222,5.8200000000000005e-05,1.314e-08,32626620.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,55.5,171.9755958674424,4.782e-05,2.894e-08,58285160.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,56.5,174.28259537374007,3.939e-05,4.788e-08,78379560.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,57.5,177.07457595187,3.254e-05,6.431e-08,85596610.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,58.5,180.94013381736764,2.698e-05,7.356e-08,79444800.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,59.5,184.69245888993711,2.2460000000000002e-05,7.622e-08,67134576.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,60.5,189.4781276460896,1.8769999999999998e-05,7.101e-08,50949675.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,61.5,194.91748299991386,1.577e-05,6.131e-08,35927660.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,62.5,200.2990599802438,1.3310000000000001e-05,5.047e-08,24291211.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,63.5,206.4978210254815,1.1289999999999999e-05,3.923e-08,15535080.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,64.5,212.79957955827823,9.622e-06,2.949e-08,9657975.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,65.5,219.1237886295337,8.241e-06,2.169e-08,5908356.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,66.5,225.49590684324545,7.089e-06,1.568e-08,3570335.9999999995
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,67.5,231.74478286430752,6.123999999999999e-06,1.119e-08,2141766.0
pal0p1,0.1% PAL,kasting,OUTPUT_PLOT.dat,43.8711,68.5,238.08576349754986,5.312e-06,7.899e-09,1276478.4
