
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   6.550E+06 1.025E+01 4.026E+14 1.912E-02 1.303E+01 7.617E+04 2.206E-07 3.307E-08 4.691E-06 2.620E-03 4.053E-05 7.221E-08 6.896E-09 7.447E+11 4.304E+03 1.848E+01 4.676E-07 9.964E-08
   6.650E+06 8.553E+00 3.332E+14 1.385E-02 8.911E+00 5.238E+04 2.743E-07 3.601E-08 4.810E-06 2.642E-03 4.053E-05 5.951E-08 5.560E-09 5.943E+11 2.559E+03 2.011E+01 4.680E-07 1.001E-07
   6.750E+06 7.151E+00 2.760E+14 1.033E-02 6.154E+00 3.492E+04 3.421E-07 3.992E-08 4.924E-06 2.664E-03 4.053E-05 4.749E-08 4.528E-09 4.728E+11 1.518E+03 2.231E+01 4.683E-07 1.005E-07
   6.850E+06 5.989E+00 2.290E+14 7.923E-03 4.293E+00 2.267E+04 4.267E-07 4.510E-08 5.032E-06 2.686E-03 4.054E-05 3.685E-08 3.726E-09 3.754E+11 8.999E+02 2.515E+01 4.686E-07 1.008E-07
   6.950E+06 5.024E+00 1.903E+14 6.209E-03 3.028E+00 1.441E+04 5.284E-07 5.165E-08 5.133E-06 2.708E-03 4.054E-05 2.797E-08 3.100E-09 2.977E+11 5.343E+02 2.860E+01 4.688E-07 1.010E-07
   7.050E+06 4.224E+00 1.576E+14 4.896E-03 2.149E+00 8.770E+03 6.450E-07 5.943E-08 5.227E-06 2.740E-03 4.054E-05 2.031E-08 2.609E-09 2.349E+11 3.138E+02 3.252E+01 4.690E-07 1.012E-07
   7.150E+06 3.561E+00 1.307E+14 3.872E-03 1.543E+00 5.227E+03 7.711E-07 6.797E-08 5.311E-06 2.768E-03 4.054E-05 1.444E-08 2.222E-09 1.854E+11 1.849E+02 3.661E+01 4.691E-07 1.014E-07
   7.250E+06 3.011E+00 1.088E+14 3.038E-03 1.116E+00 3.072E+03 9.007E-07 7.678E-08 5.386E-06 2.776E-03 4.054E-05 1.017E-08 1.905E-09 1.464E+11 1.097E+02 4.047E+01 4.692E-07 1.015E-07
   7.350E+06 2.555E+00 8.974E+13 2.318E-03 7.999E-01 1.682E+03 1.028E-06 8.540E-08 5.452E-06 2.784E-03 4.054E-05 6.733E-09 1.635E-09 1.143E+11 6.369E+01 4.400E+01 4.693E-07 1.016E-07
   7.450E+06 2.178E+00 7.434E+13 1.734E-03 5.741E-01 9.164E+02 1.146E-06 9.340E-08 5.508E-06 2.790E-03 4.054E-05 4.419E-09 1.402E-09 8.922E+10 3.736E+01 4.673E+01 4.694E-07 1.017E-07
   7.550E+06 1.865E+00 6.191E+13 1.276E-03 4.137E-01 5.020E+02 1.253E-06 1.006E-07 5.554E-06 2.795E-03 4.054E-05 2.901E-09 1.203E-09 6.980E+10 2.231E+01 4.856E+01 4.694E-07 1.018E-07
   7.650E+06 1.606E+00 5.127E+13 9.192E-04 2.961E-01 2.600E+02 1.346E-06 1.069E-07 5.593E-06 2.803E-03 4.054E-05 1.809E-09 1.033E-09 5.414E+10 1.323E+01 4.976E+01 4.695E-07 1.018E-07
