Wavelength (nm)	Solar flux (mW/m^2/nm)
6.765000e+02	6.931454e+01
6.775000e+02	7.274952e+01
6.785000e+02	6.220448e+01
6.795000e+02	6.469902e+01
6.805000e+02	6.958492e+01
6.815000e+02	7.363957e+01
6.825000e+02	7.512230e+01
6.835000e+02	7.946151e+01
6.845000e+02	8.231093e+01
6.855000e+02	7.299354e+01
6.865000e+02	7.724579e+01
6.875000e+02	8.493888e+01
6.885000e+02	8.671037e+01
6.895000e+02	9.022614e+01
6.905000e+02	9.536069e+01
6.915000e+02	1.000221e+02
6.925000e+02	1.060140e+02
6.935000e+02	1.203704e+02
6.945000e+02	1.388059e+02
6.955000e+02	1.396869e+02
6.965000e+02	1.452366e+02
6.975000e+02	1.573963e+02
6.985000e+02	1.643112e+02
6.995000e+02	1.615834e+02
7.005000e+02	1.682695e+02
7.015000e+02	1.808960e+02
7.025000e+02	1.892976e+02
7.035000e+02	2.089142e+02
7.045000e+02	2.301313e+02
7.055000e+02	1.529893e+02
7.065000e+02	1.089745e+02
7.075000e+02	1.271594e+02
7.085000e+02	1.149594e+02
7.095000e+02	7.892664e+01
7.105000e+02	9.122729e+01
7.115000e+02	1.094156e+02
7.125000e+02	8.759404e+01
7.135000e+02	6.309216e+01
7.145000e+02	7.380576e+01
7.155000e+02	8.312748e+01
7.165000e+02	8.245279e+01
7.175000e+02	9.432298e+01
7.185000e+02	1.089243e+02
7.195000e+02	1.077436e+02
7.205000e+02	9.783163e+01
7.215000e+02	1.120406e+02
7.225000e+02	1.260762e+02
7.235000e+02	1.357427e+02
7.245000e+02	1.488844e+02
7.255000e+02	1.655947e+02
7.265000e+02	1.836776e+02
7.275000e+02	1.873493e+02
7.285000e+02	1.969218e+02
7.295000e+02	2.193615e+02
7.305000e+02	2.416024e+02
7.315000e+02	2.557903e+02
7.325000e+02	2.705280e+02
7.335000e+02	2.865218e+02
7.345000e+02	2.925947e+02
7.355000e+02	2.984775e+02
7.365000e+02	3.180358e+02
7.375000e+02	3.266069e+02
7.385000e+02	3.387771e+02
7.395000e+02	3.414935e+02
7.405000e+02	3.392094e+02
7.415000e+02	3.436014e+02
7.425000e+02	3.454382e+02
7.435000e+02	3.489096e+02
7.445000e+02	3.475901e+02
