 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   0.210000000000000       CO2 =   4.000000000000000E-004
 
    CH4 =   2.806977011436352E-007
 Standard CH3CL flux =  2.370E+08

 PO2= 1.517E-01  PNO= 3.565E-02  ZAPNO= 3.768E+03
 N= 3     X= 6.98378E-01  ERR= 1.04173E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  8.75E+06 1.36E-14 1.72E-12 3.04E-09 4.15E-15 3.45E-17 2.51E-17 1.93E-21 1.17E-20 6.22E-29 3.71E-29 4.75E-13 5.30E-20
  9.15E+06 1.06E-14 3.79E-13 2.35E-09 1.49E-15 2.04E-18 1.69E-18 1.93E-23 2.01E-21 3.28E-31 1.53E-30 4.53E-13 1.11E-21
  9.55E+06 9.36E-15 1.40E-13 1.90E-09 5.81E-16 1.17E-19 1.17E-19 2.09E-25 3.68E-22 1.86E-33 4.11E-32 4.21E-13 3.55E-23
  9.95E+06 8.35E-15 8.71E-14 1.72E-09 2.55E-16 7.23E-21 1.18E-20 3.34E-27 7.57E-23 1.48E-35 7.57E-34 3.74E-13 1.38E-24
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 8.66E-18 1.80E-14 5.52E-12 6.29E-13 2.10E-01 2.41E-12 4.47E-18 4.90E-20 3.16E-11 2.12E-12 7.99E-14 4.00E-04
  1.50E+05 1.21E-17 2.13E-14 7.89E-12 8.03E-13 2.10E-01 2.53E-12 5.09E-18 7.37E-20 5.59E-11 4.17E-12 9.94E-14 4.05E-04
  2.50E+05 1.58E-17 2.50E-14 1.05E-11 9.54E-13 2.10E-01 2.70E-12 5.82E-18 1.10E-19 7.86E-11 6.45E-12 1.17E-13 4.09E-04
  3.50E+05 1.99E-17 2.85E-14 1.28E-11 1.10E-12 2.10E-01 2.98E-12 6.60E-18 1.66E-19 1.01E-10 8.67E-12 1.39E-13 4.13E-04
  7.50E+05 3.69E-17 4.20E-14 1.85E-11 1.04E-12 2.10E-01 5.60E-12 1.06E-17 8.42E-19 1.91E-10 1.30E-11 3.01E-13 4.28E-04
  1.15E+06 6.15E-17 4.49E-14 2.45E-11 6.92E-13 2.10E-01 1.91E-12 2.35E-18 8.03E-19 1.31E-10 5.77E-12 1.22E-13 4.31E-04
  1.55E+06 1.19E-16 2.50E-13 6.07E-11 7.59E-12 2.10E-01 2.43E-14 4.87E-21 1.28E-20 1.96E-11 2.91E-13 1.31E-15 4.31E-04
  1.95E+06 4.74E-16 2.15E-12 9.39E-11 6.64E-11 2.10E-01 5.08E-17 7.20E-24 1.82E-20 1.30E-12 2.03E-14 1.08E-18 4.31E-04
  2.35E+06 1.52E-15 8.54E-12 7.94E-11 1.64E-10 2.10E-01 3.92E-20 1.06E-26 2.26E-20 8.21E-14 3.10E-15 4.83E-22 4.31E-04
  2.75E+06 5.23E-15 2.13E-11 5.94E-11 2.26E-10 2.10E-01 5.92E-24 5.63E-30 1.48E-20 5.41E-15 2.09E-14 6.85E-26 4.31E-04
  3.15E+06 2.37E-14 4.98E-11 5.82E-11 1.89E-10 2.10E-01 1.16E-28 9.92E-31 1.52E-20 9.15E-16 2.54E-14 2.88E-27 4.31E-04
  3.55E+06 1.34E-13 1.09E-10 8.48E-11 7.34E-11 2.10E-01 1.43E-28 1.16E-29 6.45E-20 1.20E-15 2.50E-14 6.53E-27 4.31E-04
  3.95E+06 7.76E-13 1.78E-10 1.36E-10 1.13E-11 2.10E-01 4.22E-28 9.30E-29 2.13E-19 1.99E-15 2.42E-14 8.16E-27 4.31E-04
  4.35E+06 3.20E-12 1.72E-10 2.35E-10 6.30E-13 2.10E-01 1.50E-27 6.55E-28 6.31E-19 3.86E-15 2.23E-14 9.26E-27 4.31E-04
  4.75E+06 6.68E-12 9.50E-11 3.51E-10 2.15E-14 2.10E-01 4.41E-27 2.79E-27 1.60E-18 7.20E-15 1.89E-14 1.05E-26 4.31E-04
  5.15E+06 9.32E-12 4.43E-11 4.10E-10 9.98E-16 2.10E-01 7.13E-27 6.07E-27 4.04E-18 1.08E-14 1.53E-14 1.26E-26 4.30E-04
  5.55E+06 1.15E-11 2.16E-11 4.33E-10 7.44E-17 2.10E-01 8.94E-27 9.65E-27 1.15E-17 1.36E-14 1.24E-14 2.68E-26 4.30E-04
  5.95E+06 1.35E-11 9.94E-12 4.44E-10 6.29E-18 2.10E-01 1.11E-26 1.46E-26 3.19E-17 1.56E-14 1.03E-14 8.13E-26 4.30E-04
  6.35E+06 1.48E-11 4.58E-12 4.48E-10 9.01E-19 2.10E-01 1.78E-26 2.58E-26 1.13E-16 1.69E-14 8.82E-15 3.89E-25 4.29E-04
  6.75E+06 1.53E-11 1.58E-12 4.51E-10 1.02E-19 2.10E-01 4.14E-26 5.69E-26 2.49E-16 1.77E-14 7.81E-15 1.42E-24 4.29E-04
  7.15E+06 1.44E-11 4.94E-13 4.52E-10 1.94E-20 2.10E-01 1.86E-25 2.21E-25 5.28E-16 1.81E-14 7.10E-15 6.64E-24 4.28E-04
  7.55E+06 1.40E-11 1.42E-13 4.53E-10 2.05E-21 2.10E-01 6.48E-25 8.11E-25 8.28E-16 1.83E-14 6.50E-15 1.97E-23 4.27E-04
  7.95E+06 1.54E-11 3.72E-14 4.51E-10 8.55E-23 2.09E-01 1.28E-24 2.85E-24 1.31E-15 1.82E-14 5.88E-15 4.41E-23 4.25E-04
  8.35E+06 3.29E-11 1.29E-14 4.32E-10 3.38E-26 2.09E-01 3.17E-26 1.22E-25 7.48E-15 1.23E-14 5.24E-15 1.81E-23 4.22E-04
  8.75E+06 6.68E-11 7.35E-15 3.95E-10 7.49E-29 2.08E-01 2.67E-28 5.31E-27 1.27E-14 7.02E-15 4.58E-15 3.51E-24 4.16E-04
  9.15E+06 1.00E-10 3.15E-15 3.56E-10 1.45E-30 2.06E-01 1.44E-30 4.21E-28 1.50E-14 4.34E-15 3.83E-15 7.46E-25 4.05E-04
  9.55E+06 1.26E-10 1.11E-15 3.21E-10 3.40E-32 2.02E-01-6.22E-29 5.08E-29 1.57E-14 2.68E-15 2.98E-15 1.84E-25 3.86E-04
  9.95E+06 1.35E-10 3.19E-16 2.95E-10 8.97E-34 1.95E-01-3.49E-29 8.09E-30 1.48E-14 1.67E-15 2.05E-15 4.97E-26 3.55E-04
     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     


 MIXING RATIO OF AEROSOL

     Z      SO4AER
  5.00E+04 7.92E-11
  1.50E+05 9.64E-11
