
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3
   2.650E+06 2.064E+04 6.719E+17 5.071E+03 5.510E+01 9.555E+07 2.088E-89 2.158E-12 1.664E-11 2.106E-05 4.482E-06 6.753E-06 4.928E-06 1.429E+17 1.350E+06 4.365E+00 6.602E-09 2.566E-10 2.009E-12 2.188E-11 5.030E-10 2.147E-09 4.953E-19 1.798E-10 1.177E-12 9.999E-11 5.988E-09
   2.750E+06 1.773E+04 5.746E+17 6.058E+03 7.680E+01 1.127E+08 2.410E-79 3.398E-12 2.679E-11 2.609E-05 4.698E-06 7.516E-06 4.989E-06 1.222E+17 1.707E+06 6.030E+00 1.003E-08 3.914E-10 2.970E-12 3.046E-11 6.334E-10 2.621E-09 9.994E-19 2.616E-10 1.380E-12 1.062E-10 6.007E-09
   2.850E+06 1.525E+04 4.919E+17 7.194E+03 1.042E+02 1.321E+08 1.138E-70 5.204E-12 4.194E-11 3.264E-05 4.966E-06 8.230E-06 5.050E-06 1.046E+17 2.162E+06 8.277E+00 1.474E-08 5.777E-10 4.395E-12 4.174E-11 7.978E-10 3.144E-09 2.091E-18 3.640E-10 1.576E-12 1.056E-10 5.935E-09
   2.950E+06 1.312E+04 4.213E+17 8.492E+03 1.374E+02 1.540E+08 3.448E-63 7.765E-12 6.380E-11 4.121E-05 5.303E-06 8.867E-06 5.112E-06 8.961E+16 2.734E+06 1.128E+01 2.098E-08 8.258E-10 6.488E-12 5.604E-11 1.003E-09 3.699E-09 4.530E-18 4.813E-10 1.751E-12 9.808E-11 5.781E-09
   3.050E+06 1.129E+04 3.611E+17 9.939E+03 1.762E+02 1.779E+08 9.839E-57 1.130E-11 9.430E-11 5.246E-05 5.722E-06 9.391E-06 5.174E-06 7.681E+16 3.443E+06 1.524E+01 2.894E-08 1.143E-09 9.533E-12 7.335E-11 1.257E-09 4.254E-09 1.010E-17 5.996E-10 1.887E-12 8.469E-11 5.553E-09
   3.150E+06 9.729E+03 3.098E+17 1.150E+04 2.196E+02 2.033E+08 3.671E-51 1.605E-11 1.353E-10 6.722E-05 6.242E-06 9.762E-06 5.237E-06 6.589E+16 4.310E+06 2.033E+01 3.870E-08 1.535E-09 1.391E-11 9.316E-11 1.570E-09 4.772E-09 2.303E-17 6.993E-10 1.969E-12 6.790E-11 5.257E-09
   3.250E+06 8.388E+03 2.659E+17 1.310E+04 2.656E+02 2.287E+08 2.371E-46 2.229E-11 1.885E-10 8.653E-05 6.881E-06 9.941E-06 5.299E-06 5.656E+16 5.357E+06 2.671E+01 5.019E-08 1.998E-09 2.015E-11 1.143E-10 1.957E-09 5.215E-09 5.324E-17 7.598E-10 1.982E-12 5.063E-11 4.895E-09
   3.350E+06 7.240E+03 2.271E+17 1.453E+04 3.098E+02 2.503E+08 3.442E-42 3.027E-11 2.545E-10 1.119E-04 7.655E-06 9.851E-06 5.361E-06 4.829E+16 6.537E+06 3.439E+01 6.313E-08 2.522E-09 2.879E-11 1.375E-10 2.411E-09 5.611E-09 1.273E-16 7.761E-10 2.014E-12 3.639E-11 4.422E-09
   3.450E+06 6.260E+03 1.940E+17 1.571E+04 3.505E+02 2.670E+08 1.375E-38 4.011E-11 3.332E-10 1.443E-04 8.571E-06 9.537E-06 5.422E-06 4.126E+16 7.877E+06 4.316E+01 7.703E-08 3.090E-09 4.061E-11 1.592E-10 2.955E-09 5.868E-09 3.035E-16 7.361E-10 1.980E-12 2.456E-11 3.898E-09
   3.550E+06 5.422E+03 1.661E+17 1.662E+04 3.857E+02 2.791E+08 1.814E-35 5.188E-11 4.238E-10 1.854E-04 9.637E-06 9.067E-06 5.481E-06 3.532E+16 9.397E+06 5.295E+01 9.139E-08 3.686E-09 5.659E-11 1.778E-10 3.594E-09 5.938E-09 7.170E-16 6.540E-10 1.872E-12 1.553E-11 3.360E-09
   3.650E+06 4.704E+03 1.424E+17 1.732E+04 4.140E+02 2.875E+08 9.246E-33 6.554E-11 5.252E-10 2.379E-04 1.086E-05 8.488E-06 5.535E-06 3.029E+16 1.112E+07 6.392E+01 1.057E-07 4.293E-09 7.810E-11 1.930E-10 4.326E-09 5.804E-09 1.682E-15 5.524E-10 1.710E-12 9.234E-12 2.830E-09
   3.750E+06 4.088E+03 1.223E+17 1.789E+04 4.350E+02 2.938E+08 2.085E-30 8.093E-11 6.366E-10 3.069E-04 1.226E-05 7.825E-06 5.585E-06 2.602E+16 1.309E+07 7.639E+01 1.197E-07 4.899E-09 1.070E-10 2.051E-10 5.149E-09 5.467E-09 3.934E-15 4.497E-10 1.508E-12 5.159E-12 2.324E-09
   3.850E+06 3.559E+03 1.053E+17 1.837E+04 4.490E+02 2.989E+08 2.332E-28 9.764E-11 7.574E-10 4.001E-04 1.386E-05 7.095E-06 5.630E-06 2.239E+16 1.532E+07 9.069E+01 1.328E-07 5.493E-09 1.455E-10 2.148E-10 6.053E-09 4.941E-09 9.184E-15 3.578E-10 1.284E-12 2.692E-12 1.848E-09
   3.950E+06 3.103E+03 9.079E+16 1.871E+04 4.569E+02 3.018E+08 1.426E-26 1.151E-10 8.876E-10 5.249E-04 1.565E-05 6.332E-06 5.670E-06 1.931E+16 1.771E+07 1.067E+02 1.450E-07 6.072E-09 1.951E-10 2.233E-10 7.008E-09 4.270E-09 2.120E-14 2.835E-10 1.054E-12 1.306E-12 1.410E-09
   4.050E+06 2.710E+03 7.840E+16 1.871E+04 4.598E+02 2.996E+08 5.213E-25 1.325E-10 1.028E-09 6.843E-04 1.762E-05 5.585E-06 5.703E-06 1.667E+16 1.996E+07 1.232E+02 1.560E-07 6.632E-09 2.546E-10 2.319E-10 7.942E-09 3.529E-09 4.745E-14 2.287E-10 8.350E-13 5.891E-13 1.018E-09
   4.150E+06 2.370E+03 6.782E+16 1.821E+04 4.592E+02 2.899E+08 1.255E-23 1.494E-10 1.182E-09 8.734E-04 1.970E-05 4.894E-06 5.729E-06 1.442E+16 2.167E+07 1.384E+02 1.660E-07 7.177E-09 3.196E-10 2.417E-10 8.765E-09 2.802E-09 1.007E-13 1.908E-10 6.397E-13 2.489E-13 6.923E-10
   4.250E+06 2.076E+03 5.877E+16 1.718E+04 4.566E+02 2.722E+08 2.054E-22 1.653E-10 1.352E-09 1.081E-03 2.180E-05 4.286E-06 5.748E-06 1.250E+16 2.261E+07 1.506E+02 1.749E-07 7.713E-09 3.847E-10 2.531E-10 9.408E-09 2.158E-09 2.002E-13 1.655E-10 4.763E-13 1.001E-13 4.453E-10
   4.350E+06 1.821E+03 5.100E+16 1.569E+04 4.528E+02 2.477E+08 2.407E-21 1.801E-10 1.541E-09 1.293E-03 2.382E-05 3.757E-06 5.760E-06 1.084E+16 2.273E+07 1.586E+02 1.830E-07 8.245E-09 4.456E-10 2.658E-10 9.850E-09 1.629E-09 3.729E-13 1.481E-10 3.469E-13 3.898E-14 2.742E-10
   4.450E+06 1.600E+03 4.433E+16 1.390E+04 4.488E+02 2.190E+08 2.112E-20 1.939E-10 1.756E-09 1.497E-03 2.570E-05 3.299E-06 5.764E-06 9.426E+15 2.217E+07 1.619E+02 1.904E-07 8.781E-09 5.001E-10 2.790E-10 1.011E-08 1.217E-09 6.544E-13 1.352E-10 2.484E-13 1.490E-14 1.636E-10
   4.550E+06 1.407E+03 3.859E+16 1.199E+04 4.450E+02 1.887E+08 1.440E-19 2.067E-10 2.002E-09 1.685E-03 2.738E-05 2.902E-06 5.762E-06 8.205E+15 2.113E+07 1.610E+02 1.973E-07 9.326E-09 5.476E-10 2.919E-10 1.022E-08 9.065E-10 1.091E-12 1.246E-10 1.756E-13 5.648E-15 9.559E-11
   4.650E+06 1.240E+03 3.364E+16 1.012E+04 4.420E+02 1.594E+08 7.895E-19 2.190E-10 2.284E-09 1.852E-03 2.884E-05 2.558E-06 5.753E-06 7.152E+15 1.980E+07 1.565E+02 2.036E-07 9.888E-09 5.888E-10 3.042E-10 1.022E-08 6.760E-10 1.747E-12 1.155E-10 1.232E-13 2.144E-15 5.531E-11
   4.750E+06 1.093E+03 2.937E+16 8.417E+03 4.402E+02 1.327E+08 3.569E-18 2.310E-10 2.612E-09 1.996E-03 3.009E-05 2.263E-06 5.738E-06 6.245E+15 1.836E+07 1.498E+02 2.097E-07 1.047E-08 6.252E-10 3.159E-10 1.014E-08 5.063E-10 2.708E-12 1.075E-10 8.610E-14 8.212E-16 3.201E-11
   4.850E+06 9.654E+02 2.584E+16 7.053E+03 4.420E+02 1.115E+08 1.321E-17 2.421E-10 2.992E-09 2.119E-03 3.115E-05 2.038E-06 5.717E-06 5.493E+15 1.706E+07 1.433E+02 2.154E-07 1.108E-08 6.601E-10 3.277E-10 9.995E-09 3.803E-10 4.015E-12 1.019E-10 6.006E-14 3.262E-16 1.899E-11
   4.950E+06 8.526E+02 2.282E+16 5.914E+03 4.457E+02 9.397E+07 4.142E-17 2.527E-10 3.432E-09 2.223E-03 3.206E-05 1.853E-06 5.690E-06 4.851E+15 1.583E+07 1.367E+02 2.210E-07 1.172E-08 6.940E-10 3.396E-10 9.810E-09 2.866E-10 5.792E-12 9.774E-11 4.191E-14 1.331E-16 1.150E-11
