 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   2.806977011436352E-007
 Standard CH3CL flux =  2.370E+08

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35662E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  7.50E+05 1.07E-15 1.47E-12 1.87E-11 1.20E-12 2.37E-04 3.48E-13 2.91E-17 7.99E-15 2.27E-11 1.95E-11 2.80E-14 4.27E-04
  1.15E+06 1.95E-15 4.67E-12 2.50E-11 4.53E-12 2.40E-04 2.15E-15 8.21E-20 8.02E-15 4.65E-12 2.61E-12 7.50E-17 4.30E-04
  1.55E+06 2.38E-14 1.29E-11 5.32E-11 1.44E-12 2.40E-04 7.04E-24 1.92E-27 7.60E-19 1.47E-16 2.82E-16 2.15E-25 4.30E-04
  1.95E+06 1.69E-13 1.60E-11 7.38E-11 1.39E-13 2.40E-04 1.49E-29 4.27E-30 1.26E-21 9.98E-20 6.35E-18 1.21E-28 4.30E-04
  2.35E+06 6.20E-13 1.42E-11 8.14E-11 1.15E-14 2.40E-04 9.36E-29 3.34E-29 2.21E-21 1.28E-19 6.31E-18 3.08E-28 4.30E-04
  2.75E+06 1.36E-12 8.22E-12 9.43E-11 8.60E-16 2.40E-04 5.03E-28 1.96E-28 3.39E-21 1.78E-19 6.25E-18 7.52E-28 4.30E-04
  3.15E+06 1.95E-12 3.25E-12 1.05E-10 6.35E-17 2.40E-04 2.16E-27 8.89E-28 5.74E-21 2.78E-19 6.14E-18 2.00E-27 4.30E-04
  3.55E+06 2.28E-12 1.11E-12 1.09E-10 4.78E-18 2.40E-04 7.09E-27 3.18E-27 1.16E-20 4.89E-19 5.92E-18 6.17E-27 4.30E-04
  3.95E+06 2.26E-12 3.45E-13 1.11E-10 3.98E-19 2.40E-04 2.67E-26 1.16E-26 2.09E-20 8.35E-19 5.55E-18 2.07E-26 4.30E-04
  4.35E+06 2.16E-12 1.26E-13 1.12E-10 3.73E-20 2.40E-04 9.76E-26 4.06E-26 3.81E-20 1.44E-18 4.91E-18 7.24E-26 4.29E-04
  4.75E+06 2.25E-12 5.06E-14 1.12E-10 2.09E-21 2.41E-04 1.54E-25 8.02E-26 9.72E-20 2.58E-18 3.70E-18 2.42E-25 4.28E-04
  5.15E+06 2.66E-12 1.26E-14 1.11E-10 2.61E-23 2.43E-04 6.92E-26 7.75E-26 3.43E-19 3.77E-18 2.25E-18 5.99E-25 4.24E-04
  5.55E+06 5.04E-12 3.34E-15 1.09E-10 7.16E-26 2.47E-04 4.07E-27 2.84E-26 1.57E-18 3.48E-18 1.30E-18 7.19E-25 4.15E-04
  5.95E+06 1.65E-11 2.35E-15 9.72E-11 4.02E-28 2.47E-04 1.48E-30 2.07E-28 2.34E-18 3.13E-18 8.52E-19 5.76E-26 4.04E-04
  6.35E+06 2.98E-11 1.38E-15 8.38E-11 1.37E-29 2.32E-04 1.10E-33 7.70E-30 2.13E-18 3.54E-18 6.38E-19 7.76E-27 3.93E-04
  6.75E+06 4.14E-11 6.03E-16 7.21E-11 6.33E-31 2.02E-04-7.79E-32 1.14E-30 2.71E-18 3.06E-18 5.09E-19 2.46E-27 3.83E-04
  7.15E+06 5.04E-11 2.09E-16 6.30E-11 3.27E-32 1.66E-04 2.38E-34 3.42E-31 3.74E-18 2.08E-18 4.25E-19 1.15E-27 3.73E-04
  7.55E+06 5.76E-11 6.19E-17 5.55E-11 1.73E-33 1.31E-04 8.48E-34 1.32E-31 4.74E-18 1.11E-18 3.62E-19 5.80E-28 3.63E-04
  7.95E+06 6.42E-11 1.64E-17 4.85E-11 8.71E-35 9.90E-05 3.34E-36 5.52E-32 5.36E-18 4.78E-19 3.05E-19 2.84E-28 3.52E-04
  8.35E+06 6.98E-11 4.03E-18 4.22E-11 4.22E-36 7.32E-05 2.79E-38 2.54E-32 5.59E-18 1.78E-19 2.53E-19 1.37E-28 3.38E-04
  8.75E+06 7.41E-11 9.41E-19 3.66E-11 1.96E-37 5.36E-05 2.31E-40 1.28E-32 5.57E-18 6.08E-20 2.03E-19 6.51E-29 3.22E-04
  9.15E+06 7.66E-11 2.11E-19 3.19E-11 8.65E-39 3.91E-05 1.03E-41 7.01E-33 5.34E-18 2.01E-20 1.55E-19 3.02E-29 3.01E-04
  9.55E+06 7.68E-11 4.53E-20 2.81E-11 3.60E-40 2.84E-05 1.27E-42 3.99E-33 4.91E-18 6.62E-21 1.08E-19 1.34E-29 2.75E-04
  9.95E+06 7.39E-11 9.25E-21 2.55E-11 1.53E-41 2.02E-05 1.93E-43 2.23E-33 4.27E-18 2.51E-21 6.57E-20 5.46E-30 2.40E-04
     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     


 MIXING RATIO OF AEROSOL

     Z      SO4AER
  5.00E+04 1.04E-10
  1.50E+05 1.27E-10
  2.50E+05 1.74E-10
  3.50E+05 2.34E-10
  7.50E+05 4.78E-10
  1.15E+06 5.68E-10
  1.55E+06 4.88E-10
  1.95E+06 3.15E-10
  2.35E+06 2.06E-10
  2.75E+06 1.41E-10
  3.15E+06 8.89E-11
  3.55E+06 4.91E-11
  3.95E+06 2.36E-11
  4.35E+06 9.59E-12
  4.75E+06 3.17E-12
  5.15E+06 7.74E-13
  5.55E+06 1.35E-13
  5.95E+06 1.57E-14
  6.35E+06 1.13E-15
  6.75E+06 4.18E-17
  7.15E+06 6.07E-19
  7.55E+06 6.53E-22
  7.95E+06 2.06E-27
  8.35E+06 1.34E-37
  8.75E+06 1.88E-56
  9.15E+06 2.62E-91
  9.55E+06 1.00-100
  9.95E+06 1.00-100

Information on upper boundary conditions
BOVERH= 3.545E+13 VEFF(LH)=  4.018E+00 BOVERH2= 2.549E+13 VEFF(LH2)=  2.890E+00
BOVERCH4=  1.092E+13 VEFF(LCH4)=  1.237E+00 BOVERH2O-  1.052E+13 VEFF(LH2O)=  1.193E+00
VEFF(LO2)=  0.000E+00   VEFF(LCO2)=  0.000E+00


 PHOTOLYSIS RATES

     Z       PO2      PO2D     PCO2     PCO2D    PH2O     PO3      PO3D     PH2O2    PHCO     PH2      PHO2
   5.00E+04 6.93E-12 0.00E+00 1.53E-15 0.00E+00 1.23E-12 2.04E-04 1.37E-04 5.36E-06 1.74E-05 1.87E-05 5.62E-06
   3.50E+05 1.99E-11 0.00E+00 7.86E-14 0.00E+00 9.84E-12 2.21E-04 1.82E-04 7.42E-06 2.21E-05 2.29E-05 1.57E-05
   6.50E+05 3.80E-11 0.00E+00 1.24E-12 0.00E+00 6.87E-11 2.34E-04 2.16E-04 9.33E-06 2.55E-05 2.57E-05 2.79E-05
   9.50E+05 7.22E-11 1.84E-30 8.09E-12 9.51-222 5.44E-10 2.47E-04 2.61E-04 1.16E-05 2.82E-05 2.77E-05 4.54E-05
   1.25E+06 1.41E-10 2.43E-21 2.25E-11 3.46-128 1.94E-09 2.72E-04 4.23E-04 1.57E-05 3.11E-05 2.95E-05 8.08E-05
   1.55E+06 2.75E-10 2.01E-18 4.52E-11 5.37E-84 4.72E-09 3.57E-04 1.16E-03 2.52E-05 3.42E-05 3.13E-05 1.53E-04
   1.85E+06 4.32E-10 1.69E-16 7.38E-11 8.45E-56 9.38E-09 4.56E-04 2.04E-03 3.45E-05 3.61E-05 3.24E-05 2.17E-04
   2.15E+06 6.12E-10 3.48E-15 1.08E-10 7.53E-38 1.73E-08 5.14E-04 2.54E-03 3.99E-05 3.71E-05 3.30E-05 2.55E-04
   2.45E+06 8.43E-10 3.65E-14 1.52E-10 1.46E-26 3.16E-08 5.43E-04 2.80E-03 4.28E-05 3.76E-05 3.34E-05 2.76E-04
   2.75E+06 1.16E-09 3.10E-13 2.10E-10 1.54E-19 5.70E-08 5.58E-04 2.93E-03 4.44E-05 3.79E-05 3.36E-05 2.88E-04
   3.05E+06 1.63E-09 2.03E-12 2.86E-10 3.28E-15 9.72E-08 5.65E-04 3.00E-03 4.53E-05 3.81E-05 3.37E-05 2.95E-04
   3.35E+06 2.32E-09 9.59E-12 3.77E-10 1.43E-12 1.52E-07 5.70E-04 3.04E-03 4.59E-05 3.82E-05 3.38E-05 2.99E-04
   3.65E+06 3.29E-09 3.76E-11 4.79E-10 5.53E-11 2.35E-07 5.72E-04 3.06E-03 4.63E-05 3.83E-05 3.38E-05 3.02E-04
   3.95E+06 4.65E-09 1.36E-10 5.83E-10 4.83E-10 4.53E-07 5.74E-04 3.07E-03 4.65E-05 3.83E-05 3.38E-05 3.04E-04
   4.25E+06 6.56E-09 4.59E-10 6.80E-10 1.71E-09 9.48E-07 5.75E-04 3.08E-03 4.66E-05 3.83E-05 3.38E-05 3.05E-04
   4.55E+06 9.12E-09 2.08E-09 7.66E-10 3.54E-09 1.65E-06 5.75E-04 3.09E-03 4.67E-05 3.84E-05 3.39E-05 3.06E-04
   4.85E+06 1.23E-08 8.05E-09 8.38E-10 5.42E-09 2.35E-06 5.75E-04 3.09E-03 4.68E-05 3.84E-05 3.39E-05 3.06E-04
   5.15E+06 1.61E-08 2.14E-08 8.99E-10 7.10E-09 2.96E-06 5.76E-04 3.09E-03 4.69E-05 3.84E-05 3.39E-05 3.06E-04
   5.45E+06 2.02E-08 4.49E-08 9.50E-10 8.69E-09 3.46E-06 5.76E-04 3.09E-03 4.69E-05 3.84E-05 3.39E-05 3.07E-04
   5.75E+06 2.43E-08 8.37E-08 9.92E-10 1.07E-08 3.90E-06 5.76E-04 3.09E-03 4.69E-05 3.84E-05 3.39E-05 3.07E-04
   6.05E+06 2.85E-08 1.46E-07 1.02E-09 1.40E-08 4.30E-06 5.76E-04 3.09E-03 4.69E-05 3.84E-05 3.39E-05 3.07E-04
   6.35E+06 3.37E-08 2.49E-07 1.05E-09 1.96E-08 4.66E-06 5.76E-04 3.09E-03 4.69E-05 3.84E-05 3.39E-05 3.07E-04
   6.65E+06 4.35E-08 4.34E-07 1.06E-09 2.97E-08 4.99E-06 5.76E-04 3.09E-03 4.70E-05 3.84E-05 3.39E-05 3.07E-04
   6.95E+06 6.18E-08 7.25E-07 1.07E-09 4.64E-08 5.26E-06 5.76E-04 3.09E-03 4.70E-05 3.84E-05 3.39E-05 3.07E-04
   7.25E+06 8.43E-08 1.06E-06 1.07E-09 6.63E-08 5.46E-06 5.76E-04 3.09E-03 4.70E-05 3.84E-05 3.39E-05 3.07E-04
   7.55E+06 1.04E-07 1.34E-06 1.08E-09 8.38E-08 5.59E-06 5.76E-04 3.09E-03 4.70E-05 3.84E-05 3.39E-05 3.07E-04
   7.85E+06 1.18E-07 1.54E-06 1.08E-09 9.60E-08 5.67E-06 5.76E-04 3.09E-03 4.70E-05 3.84E-05 3.39E-05 3.07E-04
